SFO	IUR	RfDo	RfCi	ABS	Analyte	CAS No.
 	 	1.7E-02	 	0.1	Hydramethylnon	67485-29-4
3.0E+00	4.9E-03	 	3.0E-05	 	Hydrazine	302-01-2
3.0E+00	4.9E-03	 	 	 	Hydrazine Sulfate	10034-93-2
 	 	 	2.0E-02	 	Hydrogen Chloride	7647-01-0
 	 	4.0E-02	1.4E-02	 	Hydrogen Fluoride	7664-39-3
 	 	 	2.0E-03	 	Hydrogen Sulfide	7783-06-4
6.0E-02	 	4.0E-02	 	0.1	Hydroquinone	123-31-9
6.1E-02	 	2.5E-03	 	0.1	Imazalil	35554-44-0
 	 	2.5E-01	 	0.1	Imazaquin	81335-37-7
 	 	2.5E+00	 	0.1	Imazethapyr	81335-77-5
 	 	1.0E-02	 	 	Iodine	7553-56-2
 	 	4.0E-02	 	0.1	Iprodione	36734-19-7
 	 	7.0E-01	 	 	Iron	7439-89-6
 	 	3.0E-01	 	 	Isobutyl Alcohol	78-83-1
9.5E-04	 	2.0E-01	2.0E+00	0.1	Isophorone	78-59-1
 	 	1.5E-02	 	 	Isopropalin	33820-53-0
 	 	2.0E+00	2.0E-01	 	Isopropanol	67-63-0
 	 	1.0E-01	 	0.1	Isopropyl Methyl Phosphonic Acid	1832-54-8
 	 	5.0E-02	 	0.1	Isoxaben	82558-50-7
 	 	 	3.0E-01	 	JP-7	E1737665
 	 	8.0E-03	 	0.1	Lactofen	77501-63-4
 	 	 	 	 	Lead Compounds	
5.0E-01	1.5E-01	2.0E-02	2.0E-04	 	~Lead Chromate	7758-97-6
8.5E-03	1.2E-05	 	 	 	~Lead Phosphate	7446-27-7
8.5E-03	1.2E-05	 	 	0.1	~Lead acetate	301-04-2
 	 	 	 	 	~Lead and Compounds	7439-92-1
8.5E-03	1.2E-05	 	 	0.1	~Lead subacetate	1335-32-6
 	 	1.0E-07	 	 	~Tetraethyl Lead	78-00-2
 	 	5.0E-06	 	 	Lewisite	541-25-3
 	 	7.7E-03	 	0.1	Linuron	330-55-2
 	 	2.0E-03	 	 	Lithium	7439-93-2
 	 	5.0E-04	 	0.1	MCPA	94-74-6
 	 	4.4E-03	 	0.1	MCPB	94-81-5
 	 	1.0E-03	 	0.1	MCPP	93-65-2
 	 	2.0E-02	 	0.1	Malathion	121-75-5
 	 	1.0E-01	7.0E-04	0.1	Maleic Anhydride	108-31-6
 	 	5.0E-01	 	0.1	Maleic Hydrazide	123-33-1
 	 	1.0E-04	 	0.1	Malononitrile	109-77-3
 	 	3.0E-02	 	0.1	Mancozeb	8018-01-7
 	 	5.0E-03	 	0.1	Maneb	12427-38-2
 	 	1.4E-01	5.0E-05	 	Manganese (Diet)	7439-96-5
 	 	2.4E-02	5.0E-05	 	Manganese (Non-diet)	7439-96-5
 	 	9.0E-05	 	0.1	Mephosfolan	950-10-7
 	 	3.0E-02	 	0.1	Mepiquat Chloride	24307-26-4
1.1E-02	 	4.0E-03	 	0.1	"Mercaptobenzothiazole, 2-"	149-30-4
 	 	 	 	 	Mercury Compounds	
 	 	3.0E-04	3.0E-04	 	~Mercuric Chloride (and other Mercury salts)	7487-94-7
 	 	 	3.0E-04	 	~Mercury (elemental)	7439-97-6
 	 	1.0E-04	 	 	~Methyl Mercury	22967-92-6
 	 	8.0E-05	 	0.1	~Phenylmercuric Acetate	62-38-4
 	 	3.0E-05	 	 	Merphos	150-50-5
 	 	1.0E-04	 	0.1	Merphos Oxide	78-48-8
 	 	6.0E-02	 	0.1	Metalaxyl	57837-19-1
 	 	1.0E-04	3.0E-02	 	Methacrylonitrile	126-98-7
 	 	5.0E-05	 	0.1	Methamidophos	10265-92-6
 	 	2.0E+00	2.0E+01	 	Methanol	67-56-1
 	 	1.5E-03	 	0.1	Methidathion	950-37-8
 	 	2.5E-02	 	0.1	Methomyl	16752-77-5
4.9E-02	1.4E-05	 	 	0.1	"Methoxy-5-nitroaniline, 2-"	99-59-2
 	 	5.0E-03	 	0.1	Methoxychlor	72-43-5
 	 	8.0E-03	1.0E-03	 	"Methoxyethanol Acetate, 2-"	110-49-6
 	 	5.0E-03	2.0E-02	 	"Methoxyethanol, 2-"	109-86-4
 	 	1.0E+00	 	 	Methyl Acetate	79-20-9
 	 	 	2.0E-02	 	Methyl Acrylate	96-33-3
 	 	6.0E-01	5.0E+00	 	Methyl Ethyl Ketone (2-Butanone)	78-93-3
 	1.0E-03	1.0E-03	2.0E-05	 	Methyl Hydrazine	60-34-4
 	 	 	3.0E+00	 	Methyl Isobutyl Ketone (4-methyl-2-pentanone)	108-10-1
 	 	 	1.0E-03	 	Methyl Isocyanate	624-83-9
 	 	1.4E+00	7.0E-01	 	Methyl Methacrylate	80-62-6
 	 	2.5E-04	 	0.1	Methyl Parathion	298-00-0
 	 	6.0E-02	 	0.1	Methyl Phosphonic Acid	993-13-5
 	 	6.0E-03	4.0E-02	 	Methyl Styrene (Mixed Isomers)	25013-15-4
9.9E-02	2.8E-05	 	 	0.1	Methyl methanesulfonate	66-27-3
1.8E-03	2.6E-07	 	3.0E+00	 	Methyl tert-Butyl Ether (MTBE)	1634-04-4
 	 	3.0E-04	 	0.1	"Methyl-1,4-benzenediamine dihydrochloride, 2-"	615-45-2
9.0E-03	 	2.0E-02	 	0.1	"Methyl-5-Nitroaniline, 2-"	99-55-8
8.3E+00	2.4E-03	 	 	0.1	"Methyl-N-nitro-N-nitrosoguanidine, N-"	70-25-7
1.3E-01	3.7E-05	 	 	0.1	"Methylaniline Hydrochloride, 2-"	636-21-5
 	 	1.0E-02	 	0.1	Methylarsonic acid	124-58-3
 	 	2.0E-04	 	0.1	"Methylbenzene,1-4-diamine monohydrochloride, 2-"	74612-12-7
1.0E-01	 	3.0E-04	 	0.1	"Methylbenzene-1,4-diamine sulfate, 2-"	615-50-9
2.2E+01	6.3E-03	 	 	0.1	"Methylcholanthrene, 3-"	56-49-5
2.0E-03	1.0E-08	6.0E-03	6.0E-01	 	Methylene Chloride	75-09-2
1.0E-01	4.3E-04	2.0E-03	 	0.1	"Methylene-bis(2-chloroaniline), 4,4'-"	101-14-4
4.6E-02	1.3E-05	 	 	0.1	"Methylene-bis(N,N-dimethyl) Aniline, 4,4'-"	101-61-1
1.6E+00	4.6E-04	 	2.0E-02	0.1	"Methylenebisbenzenamine, 4,4'-"	101-77-9
 	 	 	6.0E-04	0.1	Methylenediphenyl Diisocyanate	101-68-8
 	 	7.0E-02	 	 	"Methylstyrene, Alpha-"	98-83-9
 	 	1.5E-01	 	0.1	Metolachlor	51218-45-2
 	 	2.5E-02	 	0.1	Metribuzin	21087-64-9
 	 	2.5E-01	 	0.1	Metsulfuron-methyl	74223-64-6
 	 	3.0E+00	 	 	Mineral oils	8012-95-1
1.8E+01	5.1E-03	2.0E-04	 	 	Mirex	2385-85-5
 	 	2.0E-03	 	0.1	Molinate	2212-67-1
 	 	5.0E-03	 	 	Molybdenum	7439-98-7
 	 	1.0E-01	 	 	Monochloramine	10599-90-3
 	 	2.0E-03	 	0.1	Monomethylaniline	100-61-8
 	 	2.5E-02	 	0.1	Myclobutanil	88671-89-0
 	 	3.0E-04	 	0.1	"N,N'-Diphenyl-1,4-benzenediamine"	74-31-7
 	 	2.0E-03	 	 	Naled	300-76-5
 	 	3.0E-02	1.0E-01	 	"Naphtha, High Flash Aromatic (HFAN)"	64742-95-6
1.8E+00	0.0E+00	 	 	0.1	"Naphthylamine, 2-"	91-59-8
 	 	1.2E-01	 	0.1	Napropamide	15299-99-7
 	2.6E-04	1.1E-02	1.4E-05	0.1	Nickel Acetate	373-02-4
 	2.6E-04	1.1E-02	1.4E-05	0.1	Nickel Carbonate	3333-67-3
 	2.6E-04	1.1E-02	1.4E-05	 	Nickel Carbonyl	13463-39-3
 	2.6E-04	1.1E-02	1.4E-05	 	Nickel Hydroxide	12054-48-7
 	2.6E-04	1.1E-02	2.0E-05	 	Nickel Oxide	1313-99-1
 	2.4E-04	1.1E-02	1.4E-05	 	Nickel Refinery Dust	E715532
 	2.6E-04	2.0E-02	9.0E-05	 	Nickel Soluble Salts	7440-02-0
1.7E+00	4.8E-04	1.1E-02	1.4E-05	 	Nickel Subsulfide	12035-72-2
 	2.6E-04	1.1E-02	1.4E-05	0.1	Nickelocene	1271-28-9
 	 	1.6E+00	 	 	Nitrate	14797-55-8
 	 	 	 	 	Nitrate + Nitrite (as N)	E701177
 	 	1.0E-01	 	 	Nitrite	14797-65-0
 	 	1.0E-02	5.0E-05	0.1	"Nitroaniline, 2-"	88-74-4
2.0E-02	 	4.0E-03	6.0E-03	0.1	"Nitroaniline, 4-"	100-01-6
 	4.0E-05	2.0E-03	9.0E-03	 	Nitrobenzene	98-95-3
 	 	3.0E+03	 	0.1	Nitrocellulose	9004-70-0
 	 	7.0E-02	 	0.1	Nitrofurantoin	67-20-9
1.3E+00	3.7E-04	 	 	0.1	Nitrofurazone	59-87-0
1.7E-02	 	1.0E-04	 	0.1	Nitroglycerin	55-63-0
 	 	1.0E-01	 	0.1	Nitroguanidine	556-88-7
 	8.8E-06	 	5.0E-03	 	Nitromethane	75-52-5
 	2.7E-03	 	2.0E-02	 	"Nitropropane, 2-"	79-46-9
2.7E+01	7.7E-03	 	 	0.1	"Nitroso-N-ethylurea, N-"	759-73-9
1.2E+02	3.4E-02	 	 	0.1	"Nitroso-N-methylurea, N-"	684-93-5
5.4E+00	1.6E-03	 	 	 	"Nitroso-di-N-butylamine, N-"	924-16-3
7.0E+00	2.0E-03	 	 	0.1	"Nitroso-di-N-propylamine, N-"	621-64-7
2.8E+00	8.0E-04	 	 	0.1	"Nitrosodiethanolamine, N-"	1116-54-7
1.5E+02	4.3E-02	 	 	0.1	"Nitrosodiethylamine, N-"	55-18-5
5.1E+01	1.4E-02	8.0E-06	4.0E-05	 	"Nitrosodimethylamine, N-"	62-75-9
4.9E-03	2.6E-06	 	 	0.1	"Nitrosodiphenylamine, N-"	86-30-6
2.2E+01	6.3E-03	 	 	 	"Nitrosomethylethylamine, N-"	10595-95-6
6.7E+00	1.9E-03	 	 	0.1	Nitrosomorpholine [N-]	59-89-2
9.4E+00	2.7E-03	 	 	0.1	Nitrosopiperidine [N-]	100-75-4
2.1E+00	6.1E-04	 	 	0.1	"Nitrosopyrrolidine, N-"	930-55-2
 	 	1.0E-04	 	0.1	"Nitrotoluene, m-"	99-08-1
2.2E-01	 	9.0E-04	 	 	"Nitrotoluene, o-"	88-72-2
1.6E-02	 	4.0E-03	 	0.1	"Nitrotoluene, p-"	99-99-0
 	 	3.0E-04	2.0E-02	 	"Nonane, n-"	111-84-2
 	 	1.5E-02	 	0.1	Norflurazon	27314-13-2
 	 	3.0E-03	 	0.1	Octabromodiphenyl Ether	32536-52-0
 	 	5.0E-02	 	0.006	"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)"	2691-41-0
 	 	2.0E-03	 	0.1	Octamethylpyrophosphoramide	152-16-9
7.8E-03	 	1.4E-01	 	0.1	Oryzalin	19044-88-3
 	 	5.0E-03	 	0.1	Oxadiazon	19666-30-9
 	 	2.5E-02	 	0.1	Oxamyl	23135-22-0
7.3E-02	 	3.0E-02	 	0.1	Oxyfluorfen	42874-03-3
 	 	1.3E-02	 	0.1	Paclobutrazol	76738-62-0
 	 	4.5E-03	 	0.1	Paraquat Dichloride	1910-42-5
 	 	6.0E-03	 	0.1	Parathion	56-38-2
 	 	5.0E-02	 	 	Pebulate	1114-71-2
 	 	3.0E-02	 	0.1	Pendimethalin	40487-42-1
 	 	2.0E-03	 	 	Pentabromodiphenyl Ether	32534-81-9
 	 	1.0E-04	 	0.1	"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99)"	60348-60-9
 	 	8.0E-04	 	 	Pentachlorobenzene	608-93-5
9.0E-02	 	 	 	 	Pentachloroethane	76-01-7
2.6E-01	 	3.0E-03	 	 	Pentachloronitrobenzene	82-68-8
4.0E-01	5.1E-06	5.0E-03	 	0.25	Pentachlorophenol	87-86-5
4.0E-03	 	2.0E-03	 	0.1	Pentaerythritol tetranitrate (PETN)	78-11-5
 	 	 	1.0E+00	 	"Pentane, n-"	109-66-0
 	 	 	 	 	Perchlorates	
 	 	7.0E-04	 	 	~Ammonium Perchlorate	7790-98-9
 	 	7.0E-04	 	 	~Lithium Perchlorate	7791-03-9
 	 	7.0E-04	 	 	~Perchlorate and Perchlorate Salts	14797-73-0
 	 	7.0E-04	 	 	~Potassium Perchlorate	7778-74-7
 	 	7.0E-04	 	 	~Sodium Perchlorate	7601-89-0
 	 	2.0E-02	 	0.1	Perfluorobutane sulfonic acid (PFBS)	375-73-5
 	 	2.0E-02	 	0.1	Perfluorobutanesulfonate	45187-15-3
 	 	5.0E-02	 	0.1	Permethrin	52645-53-1
2.2E-03	6.3E-07	 	 	0.1	Phenacetin	62-44-2
 	 	2.4E-01	 	0.1	Phenmedipham	13684-63-4
 	 	3.0E-01	2.0E-01	0.1	Phenol	108-95-2
 	 	4.0E-03	 	0.1	"Phenol, 2-(1-methylethoxy)-, methylcarbamate"	114-26-1
 	 	5.0E-04	 	0.1	Phenothiazine	92-84-2
 	 	2.0E-04	 	 	Phenyl Isothiocyanate	103-72-0
 	 	6.0E-03	 	0.1	"Phenylenediamine, m-"	108-45-2
1.2E-01	 	4.0E-03	 	0.1	"Phenylenediamine, o-"	95-54-5
 	 	1.0E-03	 	0.1	"Phenylenediamine, p-"	106-50-3
1.9E-03	 	 	 	0.1	"Phenylphenol, 2-"	90-43-7
 	 	2.0E-04	 	0.1	Phorate	298-02-2
 	 	 	3.0E-04	 	Phosgene	75-44-5
 	 	2.0E-02	 	0.1	Phosmet	732-11-6
 	 	 	 	 	"Phosphates, Inorganic"	
 	 	4.9E+01	 	 	~Aluminum metaphosphate	13776-88-0
 	 	4.9E+01	 	 	~Ammonium polyphosphate	68333-79-9
 	 	4.9E+01	 	 	~Calcium pyrophosphate	7790-76-3
 	 	4.9E+01	 	 	~Diammonium phosphate	7783-28-0
 	 	4.9E+01	 	 	~Dicalcium phosphate	7757-93-9
 	 	4.9E+01	 	 	~Dimagnesium phosphate	7782-75-4
 	 	4.9E+01	 	 	~Dipotassium phosphate	7758-11-4
 	 	4.9E+01	 	 	~Disodium phosphate	7558-79-4
 	 	4.9E+01	 	 	~Monoaluminum phosphate	13530-50-2
 	 	4.9E+01	 	 	~Monoammonium phosphate	7722-76-1
 	 	4.9E+01	 	 	~Monocalcium phosphate	7758-23-8
 	 	4.9E+01	 	 	~Monomagnesium phosphate	7757-86-0
 	 	4.9E+01	 	 	~Monopotassium phosphate	7778-77-0
 	 	4.9E+01	 	 	~Monosodium phosphate	7558-80-7
 	 	4.9E+01	 	 	~Polyphosphoric acid	8017-16-1
 	 	4.9E+01	 	 	~Potassium tripolyphosphate	13845-36-8
 	 	4.9E+01	 	 	~Sodium acid pyrophosphate	7758-16-9
 	 	4.9E+01	 	 	~Sodium aluminum phosphate (acidic)	7785-88-8
 	 	4.9E+01	 	 	~Sodium aluminum phosphate (anhydrous)	10279-59-1
 	 	4.9E+01	 	 	~Sodium aluminum phosphate (tetrahydrate)	10305-76-7
 	 	4.9E+01	 	 	~Sodium hexametaphosphate	10124-56-8
 	 	4.9E+01	 	 	~Sodium polyphosphate	68915-31-1
 	 	4.9E+01	 	 	~Sodium trimetaphosphate	7785-84-4
 	 	4.9E+01	 	 	~Sodium tripolyphosphate	7758-29-4
 	 	4.9E+01	 	 	~Tetrapotassium phosphate	7320-34-5
 	 	4.9E+01	 	 	~Tetrasodium pyrophosphate	7722-88-5
 	 	4.9E+01	 	 	~Trialuminum sodium tetra decahydrogenoctaorthophosphate (dihydrate)	15136-87-5
 	 	4.9E+01	 	 	~Tricalcium phosphate	7758-87-4
 	 	4.9E+01	 	 	~Trimagnesium phosphate	7757-87-1
 	 	4.9E+01	 	 	~Tripotassium phosphate	7778-53-2
 	 	4.9E+01	 	 	~Trisodium phosphate	7601-54-9
 	 	3.0E-04	3.0E-04	 	Phosphine	7803-51-2
 	 	4.9E+01	1.0E-02	 	Phosphoric Acid	7664-38-2
 	 	2.0E-05	 	 	"Phosphorus, White"	7723-14-0
 	 	 	 	 	Phthalates	
1.4E-02	2.4E-06	2.0E-02	 	0.1	~Bis(2-ethylhexyl)phthalate	117-81-7
1.9E-03	 	2.0E-01	 	0.1	~Butyl Benzyl Phthalate	85-68-7
 	 	1.0E+00	 	0.1	~Butylphthalyl Butylglycolate	85-70-1
 	 	1.0E-01	 	0.1	~Dibutyl Phthalate	84-74-2
 	 	8.0E-01	 	0.1	~Diethyl Phthalate	84-66-2
 	 	1.0E-01	 	 	~Dimethylterephthalate	120-61-6
 	 	1.0E-02	 	0.1	"~Octyl Phthalate, di-N-"	117-84-0
 	 	1.0E+00	 	0.1	"~Phthalic Acid, P-"	100-21-0
 	 	2.0E+00	2.0E-02	0.1	~Phthalic Anhydride	85-44-9
 	 	7.0E-02	 	0.1	Picloram	1918-02-1
 	 	1.0E-04	 	0.1	"Picramic Acid (2-Amino-4,6-dinitrophenol)"	96-91-3
 	 	9.0E-04	 	0.1	"Picric Acid (2,4,6-Trinitrophenol)"	88-89-1
 	 	6.7E-05	 	0.1	"Pirimiphos, Methyl"	29232-93-7
3.0E+01	8.6E-03	7.0E-06	 	0.1	Polybrominated Biphenyls	59536-65-1
 	 	 	 	 	Polychlorinated Biphenyls (PCBs)	
7.0E-02	2.0E-05	7.0E-05	 	0.14	~Aroclor 1016	12674-11-2
2.0E+00	5.7E-04	 	 	0.14	~Aroclor 1221	11104-28-2
2.0E+00	5.7E-04	 	 	0.14	~Aroclor 1232	11141-16-5
2.0E+00	5.7E-04	 	 	0.14	~Aroclor 1242	53469-21-9
2.0E+00	5.7E-04	 	 	0.14	~Aroclor 1248	12672-29-6
2.0E+00	5.7E-04	2.0E-05	 	0.14	~Aroclor 1254	11097-69-1
2.0E+00	5.7E-04	 	 	0.14	~Aroclor 1260	11096-82-5
 	 	6.0E-04	 	0.14	~Aroclor 5460	11126-42-4
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189)"	39635-31-9
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167)"	52663-72-6
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)"	69782-90-7
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156)"	38380-08-4
3.9E+03	1.1E+00	2.3E-08	1.3E-06	0.14	"~Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169)"	32774-16-6
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Pentachlorobiphenyl, 2',3,4,4',5- (PCB 123)"	65510-44-3
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Pentachlorobiphenyl, 2,3',4,4',5- (PCB 118)"	31508-00-6
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Pentachlorobiphenyl, 2,3,3',4,4'- (PCB 105)"	32598-14-4
3.9E+00	1.1E-03	2.3E-05	1.3E-03	0.14	"~Pentachlorobiphenyl, 2,3,4,4',5- (PCB 114)"	74472-37-0
1.3E+04	3.8E+00	7.0E-09	4.0E-07	0.14	"~Pentachlorobiphenyl, 3,3',4,4',5- (PCB 126)"	57465-28-8
2.0E+00	5.7E-04	 	 	0.14	~Polychlorinated Biphenyls (high risk)	1336-36-3
4.0E-01	1.0E-04	 	 	0.14	~Polychlorinated Biphenyls (low risk)	1336-36-3
7.0E-02	2.0E-05	 	 	0.14	~Polychlorinated Biphenyls (lowest risk)	1336-36-3
1.3E+01	3.8E-03	7.0E-06	4.0E-04	0.14	"~Tetrachlorobiphenyl, 3,3',4,4'- (PCB 77)"	32598-13-3
3.9E+01	1.1E-02	2.3E-06	1.3E-04	0.14	"~Tetrachlorobiphenyl, 3,4,4',5- (PCB 81)"	70362-50-4
 	 	 	6.0E-04	0.1	Polymeric Methylene Diphenyl Diisocyanate (PMDI)	9016-87-9
 	 	 	 	 	Polynuclear Aromatic Hydrocarbons (PAHs)	
 	 	6.0E-02	 	0.13	~Acenaphthene	83-32-9
 	 	3.0E-01	 	0.13	~Anthracene	120-12-7
1.0E-01	6.0E-05	 	 	0.13	~Benz[a]anthracene	56-55-3
1.2E+00	1.1E-04	 	 	0.13	~Benzo(j)fluoranthene	205-82-3
1.0E+00	6.0E-04	3.0E-04	2.0E-06	0.13	~Benzo[a]pyrene	50-32-8
1.0E-01	6.0E-05	 	 	0.13	~Benzo[b]fluoranthene	205-99-2
1.0E-02	6.0E-06	 	 	0.13	~Benzo[k]fluoranthene	207-08-9
 	 	8.0E-02	 	0.13	"~Chloronaphthalene, Beta-"	91-58-7
1.0E-03	6.0E-07	 	 	0.13	~Chrysene	218-01-9
1.0E+00	6.0E-04	 	 	0.13	"~Dibenz[a,h]anthracene"	53-70-3
1.2E+01	1.1E-03	 	 	0.13	"~Dibenzo(a,e)pyrene"	192-65-4
2.5E+02	7.1E-02	 	 	0.13	"~Dimethylbenz(a)anthracene, 7,12-"	57-97-6
 	 	4.0E-02	 	0.13	~Fluoranthene	206-44-0
 	 	4.0E-02	 	0.13	~Fluorene	86-73-7
1.0E-01	6.0E-05	 	 	0.13	"~Indeno[1,2,3-cd]pyrene"	193-39-5
2.9E-02	 	7.0E-02	 	0.13	"~Methylnaphthalene, 1-"	90-12-0
 	 	4.0E-03	 	0.13	"~Methylnaphthalene, 2-"	91-57-6
 	3.4E-05	2.0E-02	3.0E-03	0.13	~Naphthalene	91-20-3
1.2E+00	1.1E-04	 	 	0.13	"~Nitropyrene, 4-"	57835-92-4
 	 	3.0E-02	 	0.13	~Pyrene	129-00-0
 	 	2.0E-02	 	0.1	Potassium Perfluorobutane Sulfonate	29420-49-3
1.5E-01	 	9.0E-03	 	0.1	Prochloraz	67747-09-5
 	 	6.0E-03	 	 	Profluralin	26399-36-0
 	 	1.5E-02	 	0.1	Prometon	1610-18-0
 	 	4.0E-02	 	0.1	Prometryn	7287-19-6
 	 	1.3E-02	 	0.1	Propachlor	1918-16-7
 	 	5.0E-03	 	0.1	Propanil	709-98-8
3.3E-02	 	4.0E-02	 	0.1	Propargite	2312-35-8
 	 	2.0E-03	 	 	Propargyl Alcohol	107-19-7
 	 	2.0E-02	 	0.1	Propazine	139-40-2
 	 	2.0E-02	 	0.1	Propham	122-42-9
 	 	1.0E-01	 	0.1	Propiconazole	60207-90-1
 	 	 	8.0E-03	 	Propionaldehyde	123-38-6
 	 	1.0E-01	1.0E+00	 	Propyl benzene	103-65-1
 	 	 	3.0E+00	 	Propylene	115-07-1
 	 	2.0E+01	 	0.1	Propylene Glycol	57-55-6
 	 	 	2.7E-04	0.1	Propylene Glycol Dinitrate	6423-43-4
 	 	7.0E-01	2.0E+00	 	Propylene Glycol Monomethyl Ether	107-98-2
2.4E-01	3.7E-06	 	3.0E-02	 	Propylene Oxide	75-56-9
 	 	7.5E-02	 	0.1	Propyzamide	23950-58-5
 	 	1.0E-03	 	 	Pyridine	110-86-1
 	 	5.0E-04	 	0.1	Quinalphos	13593-03-8
3.0E+00	 	 	 	0.1	Quinoline	91-22-5
 	 	9.0E-03	 	0.1	Quizalofop-ethyl	76578-14-8
 	 	 	3.0E-02	 	Refractory Ceramic Fibers	E715557
 	 	3.0E-02	 	0.1	Resmethrin	10453-86-8
 	 	5.0E-02	 	 	Ronnel	299-84-3
 	 	4.0E-03	 	0.1	Rotenone	83-79-4
2.2E-01	6.3E-05	 	 	0.1	Safrole	94-59-7
 	 	5.0E-03	 	 	Selenious Acid	7783-00-8
 	 	5.0E-03	2.0E-02	 	Selenium	7782-49-2
 	 	5.0E-03	2.0E-02	 	Selenium Sulfide	7446-34-6
 	 	1.4E-01	 	0.1	Sethoxydim	74051-80-2
 	 	 	3.0E-03	 	"Silica (crystalline, respirable)"	7631-86-9
 	 	5.0E-03	 	 	Silver	7440-22-4
1.2E-01	 	5.0E-03	 	0.1	Simazine	122-34-9
 	 	1.3E-02	 	0.1	Sodium Acifluorfen	62476-59-9
 	 	4.0E-03	 	 	Sodium Azide	26628-22-8
5.0E-01	1.5E-01	2.0E-02	2.0E-04	 	Sodium Dichromate	10588-01-9
2.7E-01	 	3.0E-02	 	0.1	Sodium Diethyldithiocarbamate	148-18-5
 	 	5.0E-02	1.3E-02	 	Sodium Fluoride	7681-49-4
 	 	2.0E-05	 	0.1	Sodium Fluoroacetate	62-74-8
 	 	1.0E-03	 	 	Sodium Metavanadate	13718-26-8
 	 	8.0E-04	 	 	Sodium Tungstate	13472-45-2
 	 	8.0E-04	 	 	Sodium Tungstate Dihydrate	10213-10-2
2.4E-02	 	3.0E-02	 	0.1	Stirofos (Tetrachlorovinphos)	961-11-5
5.0E-01	1.5E-01	2.0E-02	2.0E-04	 	Strontium Chromate	7789-06-2
 	 	6.0E-01	 	 	"Strontium, Stable"	7440-24-6
 	 	3.0E-04	 	0.1	Strychnine	57-24-9
 	 	2.0E-01	1.0E+00	 	Styrene	100-42-5
 	 	3.0E-03	 	0.1	Styrene-Acrylonitrile (SAN) Trimer	
 	 	1.0E-03	2.0E-03	0.1	Sulfolane	126-33-0
 	 	8.0E-04	 	0.1	"Sulfonylbis(4-chlorobenzene), 1,1'-"	80-07-9
 	 	 	1.0E-03	 	Sulfur Trioxide	7446-11-9
 	 	 	1.0E-03	 	Sulfuric Acid	7664-93-9
2.5E-02	7.1E-06	5.0E-02	 	0.1	"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester"	140-57-8
 	 	3.0E-02	 	0.1	TCMTB	21564-17-0
 	 	7.0E-02	 	0.1	Tebuthiuron	34014-18-1
 	 	2.0E-02	 	0.1	Temephos	3383-96-8
 	 	1.3E-02	 	0.1	Terbacil	5902-51-2
 	 	2.5E-05	 	 	Terbufos	13071-79-9
 	 	1.0E-03	 	0.1	Terbutryn	886-50-0
 	 	1.0E-04	 	0.1	"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47)"	5436-43-1
 	 	3.0E-04	 	 	"Tetrachlorobenzene, 1,2,4,5-"	95-94-3
2.6E-02	7.4E-06	3.0E-02	 	 	"Tetrachloroethane, 1,1,1,2-"	630-20-6
2.0E-01	5.8E-05	2.0E-02	 	 	"Tetrachloroethane, 1,1,2,2-"	79-34-5
2.1E-03	2.6E-07	6.0E-03	4.0E-02	 	Tetrachloroethylene	127-18-4
 	 	3.0E-02	 	0.1	"Tetrachlorophenol, 2,3,4,6-"	58-90-2
2.0E+01	 	 	 	 	"Tetrachlorotoluene, p- alpha, alpha, alpha-"	5216-25-1
 	 	5.0E-04	 	0.1	Tetraethyl Dithiopyrophosphate	3689-24-5
 	 	 	8.0E+01	 	"Tetrafluoroethane, 1,1,1,2-"	811-97-2
 	 	2.0E-03	 	0.00065	Tetryl (Trinitrophenylmethylnitramine)	479-45-8
 	 	2.0E-05	 	 	Thallic Oxide	1314-32-5
 	 	1.0E-05	 	 	Thallium (I) Nitrate	10102-45-1
 	 	1.0E-05	 	 	Thallium (Soluble Salts)	7440-28-0
 	 	1.0E-05	 	 	Thallium Acetate	563-68-8
 	 	2.0E-05	 	 	Thallium Carbonate	6533-73-9
 	 	1.0E-05	 	 	Thallium Chloride	7791-12-0
 	 	1.0E-05	 	 	Thallium Selenite	12039-52-0
 	 	2.0E-05	 	 	Thallium Sulfate	7446-18-6
 	 	4.3E-02	 	0.1	Thifensulfuron-methyl	79277-27-3
 	 	1.0E-02	 	0.1	Thiobencarb	28249-77-6
